"goal","target","Unit","Date","Value"
"Goal 1. End poverty in all its forms everywhere","Proportion of population below the international poverty line of US$1.90 per day. Age group Total. Sex Total. Location Total","%","1992","57.06"
"Goal 1. End poverty in all its forms everywhere","Proportion of population below the international poverty line of US$1.90 per day. Age group Total. Sex Total. Location Total","%","1996","63.5"
"Goal 1. End poverty in all its forms everywhere","Proportion of population below the international poverty line of US$1.90 per day. Age group Total. Sex Total. Location Total","%","2003","53.46"
"Goal 1. End poverty in all its forms everywhere","Proportion of population below the international poverty line of US$1.90 per day. Age group Total. Sex Total. Location Total","%","2009","53.47"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15 - 24. Sex Female. Location Total","%","2004","49.89"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15 - 24. Sex Female. Location Total","%","2010","50.22"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15 - 24. Sex Female. Location Total","%","2012","54.4"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15 - 24. Sex Male. Location Total","%","2004","62.69"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15 - 24. Sex Male. Location Total","%","2010","62"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15 - 24. Sex Male. Location Total","%","2012","65.3"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15 - 24. Sex Total. Location Total","%","2004","57.03"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15 - 24. Sex Total. Location Total","%","2010","56.85"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15 - 24. Sex Total. Location Total","%","2012","60.54"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15+. Sex Female. Location Total","%","2004","44.13"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15+. Sex Female. Location Total","%","2010","43.83"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15+. Sex Female. Location Total","%","2012","48.01"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15+. Sex Male. Location Total","%","2004","50.9"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15+. Sex Male. Location Total","%","2010","47.09"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15+. Sex Male. Location Total","%","2012","50.08"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15+. Sex Total. Location Total","%","2004","48.02"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15+. Sex Total. Location Total","%","2010","45.72"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 15+. Sex Total. Location Total","%","2012","49.21"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 25+. Sex Female. Location Total","%","2004","42.35"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 25+. Sex Female. Location Total","%","2010","41.93"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 25+. Sex Female. Location Total","%","2012","46.13"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 25+. Sex Male. Location Total","%","2004","47.57"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 25+. Sex Male. Location Total","%","2010","43.02"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 25+. Sex Male. Location Total","%","2012","45.98"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 25+. Sex Total. Location Total","%","2004","45.38"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 25+. Sex Total. Location Total","%","2010","42.57"
"Goal 1. End poverty in all its forms everywhere","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor). Age group 25+. Sex Total. Location Total","%","2012","46.04"
"Goal 1. End poverty in all its forms everywhere","Proportion of the population covered by social assistance programs. Age group Total. Sex Total. Location Total","%","2010","1.72"
"Goal 1. End poverty in all its forms everywhere","Proportion of the population covered by social assistance programs. Age group Total. Sex Total. Location Total","%","2012","3.55"
"Goal 1. End poverty in all its forms everywhere","Proportion of the poorest quintile population covered by social assistance programs. Age group Total. Sex Total. Location Total","%","2010","1.02"
"Goal 1. End poverty in all its forms everywhere","Proportion of the poorest quintile population covered by social assistance programs. Age group Total. Sex Total. Location Total","%","2012","3.29"
"Goal 1. End poverty in all its forms everywhere","Proportion of the population covered by social insurance programs. Age group Total. Sex Total. Location Total","%","2010","0.42"
"Goal 1. End poverty in all its forms everywhere","Proportion of the population covered by social insurance programs. Age group Total. Sex Total. Location Total","%","2012","1.25"
